id,90% Credible Intervals_x,90% Credible Intervals_y,90% Credible Intervals_x2,90% Credible Intervals_y2,Posterior Predictive_x,Posterior Predictive_y,Posterior Mode_x,Posterior Mode_y,Exact Data_x,Exact Data_y,Low Outlier Data_x,Low Outlier Data_y
1,1E-06,282.771042738529,1E-06,1145.42828981021,1E-06,2164.88821000718,1E-06,357.299222754263,0.0612244897959184,226,0.938775510204082,74
2,2E-06,281.770178069304,2E-06,1058.06166312025,2E-06,1694.98302588872,2E-06,352.95445653565,0.142857142857143,187,0.959183673469388,72
3,5E-06,280.181267336025,5E-06,947.912405773346,5E-06,1253.34908682393,5E-06,346.589908198131,0.163265306122449,185,0.979591836734694,62
4,1E-05,278.825954462941,1E-05,871.800879110796,1E-05,1014.87191051546,1E-05,341.25725871514,0.857142857142857,109,,
5,2E-05,277.249920819607,2E-05,801.020314817096,2E-05,834.688359077386,2E-05,335.432682287741,0.795918367346939,112,,
6,5E-05,274.391874649232,5E-05,709.554584316131,5E-05,660.733406260669,5E-05,326.900313731749,0.285714285714286,166,,
7,0.0001,271.840640064043,0.0001,648.010972142606,0.0001,563.977753259391,0.0001,319.751174550401,0.0816326530612245,207,,
8,0.0002,268.919267925451,0.0002,591.494143388021,0.0002,488.928502535273,0.0002,311.94225341496,0.836734693877551,110,,
9,0.0005,263.68554805433,0.0005,522.883516170031,0.0005,413.583079142469,0.0005,300.501960893207,0.73469387755102,113,,
10,0.001,258.843582214962,0.001,473.045277173424,0.001,369.880282709083,0.001,290.914396511848,0.816326530612245,111,,
11,0.002,253.047952399328,0.002,427.123624795161,0.002,334.286464356897,0.002,280.438154292329,0.306122448979592,162,,
12,0.005,243.500908646943,0.005,372.798373004275,0.005,296.555929165015,0.005,265.075679758201,0.612244897959184,138,,
13,0.01,234.399744754457,0.01,334.030615309798,0.01,272.91129944381,0.01,252.175138324896,0.510204081632653,143,,
14,0.02,223.426912792818,0.02,299.507755814017,0.02,252.002062681911,0.02,238.026143755261,0.26530612244898,167,,
15,0.05,205.020451489557,0.05,256.089925652926,0.05,225.609449959746,0.05,217.075287093313,0.897959183673469,94,,
16,0.1,187.914653781149,0.1,225.37924839157,0.1,204.693459839742,0.1,199.099671130545,0.346938775510204,157,,
17,0.2,168.031333443916,0.2,196.483023062073,0.2,181.578867147368,0.2,178.521001835037,0.428571428571429,147,,
18,0.3,154.150805683769,0.3,179.169622135947,0.3,166.237782141834,0.3,164.624770811984,0.204081632653061,176,,
19,0.5,132.950557456016,0.5,154.102381162736,0.5,143.220093817837,0.5,143.463039446794,0.755102040816326,112,,
20,0.7,113.278237767821,0.7,132.518739681524,0.7,123.001930723965,0.7,124.463339246837,0.326530612244898,161,,
21,0.8,101.648710295302,0.8,121.382933871414,0.8,111.935189135212,0.8,113.926679154398,0.775510204081633,112,,
22,0.9,85.387385624821,0.9,108.020347164049,0.9,97.7085907039157,0.9,100.377398932532,0.673469387755102,134,,
23,0.95,71.832619833718,0.95,98.6856705444214,0.95,86.5321252714544,0.95,90.0206214413578,0.244897959183673,169,,
24,0.98,56.4653971375676,0.98,89.8129594960498,0.98,73.9834526345115,0.98,79.1574814468508,0.653061224489796,136,,
25,0.99,46.7976796523977,0.99,84.6393535186064,0.99,65.3049777606105,0.99,72.3332248680911,0.102040816326531,197,,
26,,,,,,,,,0.469387755102041,144,,
27,,,,,,,,,0.530612244897959,141,,
28,,,,,,,,,0.408163265306122,149,,
29,,,,,,,,,0.122448979591837,196,,
30,,,,,,,,,0.448979591836735,145,,
31,,,,,,,,,0.693877551020408,131,,
32,,,,,,,,,0.877551020408163,104,,
33,,,,,,,,,0.0408163265306122,235,,
34,,,,,,,,,0.571428571428571,139,,
35,,,,,,,,,0.0204081632653061,259,,
36,,,,,,,,,0.714285714285714,124,,
37,,,,,,,,,0.489795918367347,144,,
38,,,,,,,,,0.224489795918367,174,,
39,,,,,,,,,0.63265306122449,137,,
40,,,,,,,,,0.551020408163265,141,,
41,,,,,,,,,0.183673469387755,185,,
42,,,,,,,,,0.387755102040816,152,,
43,,,,,,,,,0.918367346938776,92,,
44,,,,,,,,,0.36734693877551,152,,
45,,,,,,,,,0.591836734693878,138,,
