year,peak_score
1884,43
1886,87
1888,38
1893,102
1896,154
1899,130
1902,128
1905,113
1909,58
1912,122
1921,101
1924,50
1926,117
1928,83
1929,154
1930,83
1931,109
1933,169
1934,153
1935,124
1936,167
1937,100
1939,76
1946,78
1947,191
1948,145
1949,103
1950,104
1951,98
1952,104
1953,122
1954,93
1955,158
1956,113
1958,101
1959,131
1960,109
1961,102
1963,182
1964,311
1966,161
1968,88
1969,128
1971,107
1972,91
1974,123
1976,135
1977,137
1980,101
1981,123
1982,129
1984,223
1985,160
1987,166
1988,74
1989,143
1990,179
1992,205
1993,133
1994,115
1995,145
1997,116
1998,210
1999,107
2000,112
2001,138
2002,123
2004,114
2005,166
2006,127
2007,116
2008,154
2010,128
2013,187
2014,77
2016,254
2017,99
2019,211
2020,176
2022,113
2023,189
2024,113
2025,150
